time,clock,T,Po,P,RRR,U,DD,Ff,VV,ff3,Tn,Tx,Td
,8,17.5,690.1,755.4,6,100,5.1, 1,1.5,4,14.2,0,17.5
,5,17.7,689.6,754.1,2,95,1.1, 1,1.8,4,0,0,16.9
,2,17.1,690.1,754.7,0,95,1.5, 1,3.5,4,10.7,27.7,16.3
2021年 10月 2日 星期六,23,17.8,690.4,755.5,0,87,1.5, 1,4.7,5,10.7,27.7,15.6
,20,19.9,688.9,754.6,0,70,2.5, 1,8,5,10.7,27.7,14.3
,14,26,689.4,754.4,0,43,3.9, 1,18,5,10.7,27.7,12.5
,11,22.1,691.8,757.4,0,51,2.9, 1,14,4,10.7,27.7,11.5
,8,14.1,692.2,757.9,0,91,1.5, 2,8,7,10.7,27.7,12.7
,5,10.9,691.5,756.9,0,100,2, 1,3.1,7,9.9,27.7,10.9
,2,13.4,691.8,757,0,86,5.1,0,7,7,9.9,27.7,11.1
2021年 10月 1日 星期五,23,14.2,691.7,757.3,0,91,2,0,4.8,7,9.9,27.7,12.8
,20,21.7,691,756.7,0,48,3.5, 2,16,7,9.9,27.7,10.2
,17,27.1,689.6,754.8,0,30,3.1, 2,20,7,9.9,27.7,8
,14,27,690.7,755.8,0,29,3.5, 2,24,5,9.9,27,7.5
,11,22.7,692.9,758.1,0,52,1.5, 1,14,4,9.9,26.3,12.3
,8,13.2,693.2,759.2,0,100,1.5,0,3.9,5,9.9,26.3,13.2
,5,11.1,692.1,757.6,0,100,0,0,1.4,0,11.1,26.3,11.1
,2,13.5,691.9,757.5,0,100,2.1, 1,2.4,0,12.1,26.3,13.5
