"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00057083","ZHENGZHOU, CH","1954-06","491","354","5","4","0","0","0","30","12","55","0.50","99","4063","1","1.41","76.8","88.3","65.2"
"CHM00057083","ZHENGZHOU, CH","1954-07","901","410","13","8","0","0","0","31","7","62","0.92","97","0","0","3.72","78.2","87.2","69.3"
"CHM00057083","ZHENGZHOU, CH","1954-08","1301","399","13","11","0","0","0","31","6","64","3.60","94","0","0","14.40","77.9","85.5","70.3"
"CHM00057083","ZHENGZHOU, CH","1954-09","1493","192","5","4","0","0","0","30","2","51","0.61","91","2","2","1.30","71.3","80.7","62.0"
"CHM00057083","ZHENGZHOU, CH","1954-10","1495","2","6","4","0","0","0","18","0","40","0.85","81","176","174","2.36","59.4","70.2","48.7"
"CHM00057083","ZHENGZHOU, CH","1954-11","1495","0","6","3","0","7","1","6","0","27","1.11","75","652","476","2.54","49.1","58.5","39.7"
"CHM00057083","ZHENGZHOU, CH","1954-12","1495","0","10","5","0","29","16","0","0","2","0.53","57","1832","1179","1.78","27.0","33.0","20.9"
"CHM00057083","ZHENGZHOU, CH","1955-01","0","0","1","0","2","28","10","0","0","0","0.08","57","2929","1097","0.08","29.6","38.4","20.8"
"CHM00057083","ZHENGZHOU, CH","1955-02","0","0","5","1","0","19","0","1","0","24","0.11","71","3601","672","0.30","41.0","50.7","31.2"
"CHM00057083","ZHENGZHOU, CH","1955-03","0","0","11","7","0","10","0","1","0","22","0.40","71","4297","695","2.01","42.6","50.9","34.3"
"CHM00057083","ZHENGZHOU, CH","1955-04","40","40","4","3","0","0","0","14","2","33","0.83","95","4548","251","1.28","58.0","69.4","46.5"
"CHM00057083","ZHENGZHOU, CH","1955-05","247","207","4","2","0","0","0","31","3","45","0.33","96","4551","3","0.54","71.6","84.7","58.4"
"CHM00057083","ZHENGZHOU, CH","1955-06","765","518","3","0","0","0","0","30","27","54","0.03","104","4551","0","0.06","82.3","96.0","68.6"
"CHM00057083","ZHENGZHOU, CH","1955-07","1287","522","10","7","0","0","0","31","18","63","2.78","104","0","0","7.11","81.9","91.3","72.5"
"CHM00057083","ZHENGZHOU, CH","1955-08","1727","439","14","10","0","0","0","31","8","56","2.46","93","0","0","9.90","79.2","86.4","71.9"
"CHM00057083","ZHENGZHOU, CH","1955-09","1902","175","15","7","0","0","0","29","2","54","1.05","93","4","4","2.42","70.7","78.7","62.8"
"CHM00057083","ZHENGZHOU, CH","1955-10","1907","5","4","3","0","0","0","11","0","34","0.73","81","255","251","1.17","57.1","67.6","46.5"
"CHM00057083","ZHENGZHOU, CH","1955-11","1907","0","2","0","0","16","0","3","0","20","0.07","74","804","549","0.11","46.7","60.0","33.4"
"CHM00057083","ZHENGZHOU, CH","1955-12","1907","0","4","3","0","23","2","0","0","19","0.45","67","1608","804","0.96","39.1","49.7","28.5"
"CHM00057083","ZHENGZHOU, CH","1956-01","0","0","3","3","0","29","10","0","0","11","0.35","55","2686","1078","0.85","30.2","37.8","22.6"
"CHM00057083","ZHENGZHOU, CH","1956-02","0","0","1","0","0","23","0","0","0","15","0.09","63","3535","849","0.10","35.7","44.9","26.5"
"CHM00057083","ZHENGZHOU, CH","1956-03","0","0","10","4","0","11","0","0","0","18","0.63","69","4232","697","1.58","42.5","51.1","33.9"
"CHM00057083","ZHENGZHOU, CH","1956-04","32","32","6","4","0","0","0","16","1","36","1.59","93","4402","170","2.96","60.4","71.7","49.1"
"CHM00057083","ZHENGZHOU, CH","1956-05","169","137","4","4","0","0","0","28","6","41","0.26","98","4446","43","0.77","68.0","80.2","55.8"
"CHM00057083","ZHENGZHOU, CH","1956-06","486","317","15","11","0","0","0","30","7","61","2.00","97","4446","0","9.57","75.6","83.9","67.3"
"CHM00057083","ZHENGZHOU, CH","1956-07","1058","572","7","4","0","0","0","31","22","66","2.25","100","0","0","5.39","83.4","92.9","74.0"
"CHM00057083","ZHENGZHOU, CH","1956-08","1436","377","11","9","0","0","0","31","6","63","4.30","96","0","0","8.82","77.2","83.8","70.6"
"CHM00057083","ZHENGZHOU, CH","1956-09","1677","241","2","0","0","0","0","30","1","48","0.05","90","2","2","0.07","72.9","84.1","61.8"
"CHM00057083","ZHENGZHOU, CH","1956-10","1693","16","6","1","0","0","0","18","0","36","0.13","84","182","179","0.35","59.7","71.6","47.9"
"CHM00057083","ZHENGZHOU, CH","1956-11","1693","0","1","0","0","15","0","4","0","17","0.04","77","807","625","0.04","44.2","56.1","32.2"
"CHM00057083","ZHENGZHOU, CH","1956-12","1693","0","1","0","0","28","2","0","0","13","0.04","61","1820","1013","0.04","32.3","41.5","23.1"
"CHM00057083","ZHENGZHOU, CH","1957-01","0","0","7","4","0","30","7","0","0","8","0.49","49","2882","1061","1.09","30.8","36.4","25.1"
"CHM00057083","ZHENGZHOU, CH","1957-02","0","0","3","1","0","27","9","0","0","14","0.14","58","3795","913","0.29","32.4","40.2","24.5"
"CHM00057083","ZHENGZHOU, CH","1957-03","0","0","5","2","0","10","0","3","0","7","0.27","85","4448","654","0.67","43.9","54.2","33.6"
"CHM00057083","ZHENGZHOU, CH","1957-04","16","16","7","4","0","3","0","19","0","25","2.53","83","4639","191","3.80","59.2","71.3","47.0"
"CHM00057083","ZHENGZHOU, CH","1957-05","183","167","9","4","0","0","0","27","5","42","0.65","99","4684","45","1.22","68.9","80.8","57.1"
"CHM00057083","ZHENGZHOU, CH","1957-06","467","284","10","6","0","0","0","30","5","57","2.66","97","4684","0","5.23","74.5","84.4","64.5"
"CHM00057083","ZHENGZHOU, CH","1957-07","908","441","15","12","0","0","0","31","12","64","3.31","98","0","0","14.81","79.2","87.2","71.3"
"CHM00057083","ZHENGZHOU, CH","1957-08","1376","467","4","1","0","0","0","31","14","62","0.44","98","0","0","0.53","80.1","89.0","71.1"
"CHM00057083","ZHENGZHOU, CH","1957-09","1531","156","1","0","0","0","0","29","1","42","0.02","91","16","16","0.02","69.6","81.4","57.8"
"CHM00057083","ZHENGZHOU, CH","1957-10","1581","50","5","4","0","0","0","18","2","33","0.70","92","206","189","1.95","60.5","73.7","47.3"
"CHM00057083","ZHENGZHOU, CH","1957-11","1581","0","5","3","0","4","0","3","0","22","0.24","76","664","458","0.76","49.7","59.7","39.8"
"CHM00057083","ZHENGZHOU, CH","1957-12","1581","0","3","1","0","24","0","0","0","19","0.19","56","1508","844","0.26","37.8","46.7","28.8"
"CHM00057083","ZHENGZHOU, CH","1958-01","0","0","6","2","0","29","5","0","0","6","0.35","63","2538","1030","0.77","31.8","40.2","23.3"
"CHM00057083","ZHENGZHOU, CH","1958-02","0","0","0","0","0","24","0","1","0","17","0.00","73","3265","726","0.00","39.1","51.1","27.0"
"CHM00057083","ZHENGZHOU, CH","1958-03","0","0","4","3","0","9","0","4","0","16","0.90","74","3803","538","1.50","47.6","59.2","36.0"
"CHM00057083","ZHENGZHOU, CH","1958-04","23","23","8","3","0","0","0","11","0","32","1.47","83","4021","218","2.57","58.5","67.7","49.3"
"CHM00057083","ZHENGZHOU, CH","1958-05","193","170","7","2","0","0","0","24","8","39","1.00","98","4086","65","1.44","68.4","79.4","57.3"
"CHM00057083","ZHENGZHOU, CH","1958-06","627","434","9","6","0","0","0","30","15","58","2.01","102","4086","0","3.49","79.5","90.0","68.9"
"CHM00057083","ZHENGZHOU, CH","1958-07","1134","507","20","12","0","0","0","31","13","70","1.64","97","0","0","7.84","81.4","88.3","74.4"
"CHM00057083","ZHENGZHOU, CH","1958-08","1460","326","14","8","0","0","0","30","4","59","4.31","92","1","1","9.68","75.5","82.1","68.9"
"CHM00057083","ZHENGZHOU, CH","1958-09","1645","185","6","3","0","0","0","29","0","50","0.35","90","15","14","0.78","70.7","80.5","60.9"
"CHM00057083","ZHENGZHOU, CH","1958-10","1649","4","6","2","0","1","0","14","0","32","2.78","76","263","248","3.11","57.1","67.2","47.1"
"CHM00057083","ZHENGZHOU, CH","1958-11","1649","0","8","5","0","4","0","0","0","28","1.10","66","848","585","2.47","45.5","53.6","37.4"
"CHM00057083","ZHENGZHOU, CH","1958-12","1649","0","2","1","0","21","0","0","0","23","0.37","64","1639","791","0.41","39.5","48.8","30.1"
"CHM00057083","ZHENGZHOU, CH","1959-01","0","0","2","1","0","27","5","0","0","13","0.11","61","2632","993","0.14","33.0","40.8","25.2"
"CHM00057083","ZHENGZHOU, CH","1959-02","0","0","6","2","0","18","0","0","0","18","0.12","60","3381","750","0.37","38.2","46.0","30.4"
"CHM00057083","ZHENGZHOU, CH","1959-03","0","0","6","3","0","4","0","4","0","27","0.88","74","3868","486","1.57","49.3","59.1","39.6"
"CHM00057083","ZHENGZHOU, CH","1959-04","35","35","0","0","0","0","0","21","1","35","0.01","92","4020","153","0.02","61.1","73.8","48.4"
"CHM00057083","ZHENGZHOU, CH","1959-05","173","138","9","6","0","0","0","22","4","47","0.96","93","4081","60","2.43","67.5","77.5","57.5"
"CHM00057083","ZHENGZHOU, CH","1959-06","578","404","7","5","0","0","0","30","15","54","1.30","100","4085","4","4.00","78.3","89.2","67.5"
"CHM00057083","ZHENGZHOU, CH","1959-07","1230","653","7","4","0","0","0","31","28","64","0.31","103","0","0","0.82","86.1","96.0","76.1"
"CHM00057083","ZHENGZHOU, CH","1959-08","1791","561","9","7","0","0","0","31","23","67","1.64","99","0","0","3.87","83.1","92.1","74.1"
"CHM00057083","ZHENGZHOU, CH","1959-09","2012","220","6","3","0","0","0","30","2","50","0.99","91","1","1","1.35","72.3","83.6","61.0"
"CHM00057083","ZHENGZHOU, CH","1959-10","2087","75","5","2","0","0","0","23","1","36","1.26","92","117","117","1.78","63.7","76.0","51.3"
"CHM00057083","ZHENGZHOU, CH","1959-11","2087","0","6","4","0","12","0","0","0","24","0.28","64","736","618","0.81","44.4","52.8","35.9"
"CHM00057083","ZHENGZHOU, CH","1959-12","2087","0","4","2","0","23","3","0","0","6","0.39","65","1666","930","0.64","35.0","42.7","27.3"
"CHM00057083","ZHENGZHOU, CH","1960-01","0","0","4","1","0","30","4","0","0","15","0.24","66","2644","978","0.43","33.4","41.9","25.0"
"CHM00057083","ZHENGZHOU, CH","1960-02","0","0","1","0","0","19","0","4","0","18","0.02","78","3270","626","0.02","43.4","57.8","29.0"
"CHM00057083","ZHENGZHOU, CH","1960-03","0","0","8","7","0","5","0","2","0","26","0.83","71","3812","542","3.14","47.5","55.8","39.3"
"CHM00057083","ZHENGZHOU, CH","1960-04","44","44","6","2","0","0","0","16","2","33","0.11","91","4052","240","0.40","58.5","71.0","46.0"
"CHM00057083","ZHENGZHOU, CH","1960-05","202","157","4","3","0","0","0","26","4","42","0.27","99","4114","62","0.72","68.1","80.1","56.0"
"CHM00057083","ZHENGZHOU, CH","1960-06","729","528","2","1","0","0","0","30","25","61","0.15","107","4114","0","0.17","82.6","94.5","70.7"
"CHM00057083","ZHENGZHOU, CH","1960-07","1203","474","17","10","0","0","0","31","15","65","1.48","98","0","0","5.55","80.3","88.1","72.4"
"CHM00057083","ZHENGZHOU, CH","1960-08","1633","430","9","3","0","0","0","31","13","63","0.51","96","0","0","1.28","78.9","87.3","70.4"
"CHM00057083","ZHENGZHOU, CH","1960-09","1853","220","9","6","0","0","0","24","7","52","1.36","93","19","19","3.09","71.7","81.4","62.0"
"CHM00057083","ZHENGZHOU, CH","1960-10","1860","6","8","3","0","0","0","16","0","34","0.34","82","218","198","0.97","58.8","69.5","48.1"
"CHM00057083","ZHENGZHOU, CH","1960-11","1860","0","5","1","0","8","0","2","0","24","0.34","75","759","541","0.48","47.0","56.5","37.4"
"CHM00057083","ZHENGZHOU, CH","1960-12","1860","0","2","0","0","29","0","0","0","11","0.09","67","1718","960","0.15","34.1","45.2","22.9"
"CHM00057083","ZHENGZHOU, CH","1961-01","0","0","1","1","0","30","0","0","0","13","0.10","58","2675","956","0.10","34.1","44.6","23.6"
"CHM00057083","ZHENGZHOU, CH","1961-02","0","0","2","0","0","19","0","0","0","19","0.09","70","3324","649","0.11","41.8","53.9","29.7"
"CHM00057083","ZHENGZHOU, CH","1961-03","0","0","7","4","0","2","0","4","0","31","0.31","78","3805","481","1.02","49.5","59.4","39.6"
"CHM00057083","ZHENGZHOU, CH","1961-04","55","55","3","3","0","0","0","24","0","34","0.62","90","3893","87","1.27","63.9","76.5","51.4"
"CHM00057083","ZHENGZHOU, CH","1961-05","300","245","5","2","0","0","0","31","11","45","0.88","95","3895","2","1.22","72.8","85.8","59.9"
"CHM00057083","ZHENGZHOU, CH","1961-06","723","423","10","7","0","0","0","29","12","56","2.46","100","3895","0","4.93","79.1","87.6","70.6"
"CHM00057083","ZHENGZHOU, CH","1961-07","1355","632","9","4","0","0","0","31","26","69","1.64","103","0","0","3.35","85.4","94.7","76.1"
"CHM00057083","ZHENGZHOU, CH","1961-08","1852","497","8","3","0","0","0","31","13","62","0.92","100","0","0","1.82","81.0","89.6","72.5"
"CHM00057083","ZHENGZHOU, CH","1961-09","2009","157","9","6","0","0","0","28","1","52","2.95","90","10","10","6.16","69.9","78.9","61.0"
"CHM00057083","ZHENGZHOU, CH","1961-10","2031","22","9","6","0","0","0","9","0","43","1.45","84","218","208","3.10","59.0","65.9","52.1"
"CHM00057083","ZHENGZHOU, CH","1961-11","2031","0","7","5","0","1","0","1","0","30","0.45","74","684","465","1.62","49.5","56.3","42.7"
"CHM00057083","ZHENGZHOU, CH","1961-12","2031","0","2","0","0","26","0","0","0","18","0.02","68","1556","872","0.05","36.9","46.2","27.5"
"CHM00057083","ZHENGZHOU, CH","1962-01","0","0","1","0","0","31","0","0","0","14","0.07","52","2552","996","0.07","32.9","43.0","22.7"
"CHM00057083","ZHENGZHOU, CH","1962-02","0","0","4","2","0","21","0","1","0","20","0.48","71","3265","712","0.70","39.6","50.1","29.0"
"CHM00057083","ZHENGZHOU, CH","1962-03","0","0","0","0","0","8","0","5","0","23","0.00","81","3772","508","0.00","48.6","62.1","35.2"
"CHM00057083","ZHENGZHOU, CH","1962-04","27","27","8","1","0","2","0","15","0","30","0.13","88","3983","211","0.44","58.9","71.2","46.5"
"CHM00057083","ZHENGZHOU, CH","1962-05","251","224","4","2","0","0","0","31","9","43","0.16","99","3995","12","0.35","71.8","85.4","58.3"
"CHM00057083","ZHENGZHOU, CH","1962-06","610","359","8","5","0","0","0","30","13","54","0.89","98","3995","0","2.14","77.0","88.2","65.7"
"CHM00057083","ZHENGZHOU, CH","1962-07","1192","583","8","4","0","0","0","31","21","67","2.36","102","0","0","3.66","83.8","92.9","74.7"
"CHM00057083","ZHENGZHOU, CH","1962-08","1612","420","10","10","0","0","0","31","8","59","2.86","96","0","0","9.61","78.5","86.4","70.6"
"CHM00057083","ZHENGZHOU, CH","1962-09","1834","222","10","6","0","0","0","23","4","52","0.99","93","44","44","3.40","70.9","80.1","61.7"
"CHM00057083","ZHENGZHOU, CH","1962-10","1844","10","7","4","0","0","0","11","0","35","1.07","81","241","197","1.95","58.9","68.3","49.6"
"CHM00057083","ZHENGZHOU, CH","1962-11","1844","0","10","7","0","7","0","3","0","23","0.75","73","860","619","3.31","44.4","50.9","37.8"
"CHM00057083","ZHENGZHOU, CH","1962-12","1844","0","3","1","0","22","0","0","0","18","0.19","67","1657","796","0.28","39.3","49.3","29.3"
"CHM00057083","ZHENGZHOU, CH","1963-01","0","0","0","0","0","29","0","0","0","13","0.00","56","2632","976","0.00","33.5","44.2","22.9"
"CHM00057083","ZHENGZHOU, CH","1963-02","0","0","0","0","0","24","0","1","0","14","0.00","75","3411","779","0.00","37.2","49.5","24.9"
"CHM00057083","ZHENGZHOU, CH","1963-03","4","4","7","5","0","9","0","9","0","28","0.55","89","3937","526","1.43","48.1","59.6","36.6"
"CHM00057083","ZHENGZHOU, CH","1963-04","4","0","11","3","0","0","0","8","0","36","1.19","80","4225","287","2.21","55.4","62.9","47.9"
"CHM00057083","ZHENGZHOU, CH","1963-05","104","101","14","8","0","0","0","23","1","46","1.66","93","4282","57","5.94","66.4","75.3","57.5"
"CHM00057083","ZHENGZHOU, CH","1963-06","525","421","8","5","0","0","0","30","17","59","2.11","98","4282","0","5.14","79.0","90.0","68.1"
"CHM00057083","ZHENGZHOU, CH","1963-07","1065","540","9","5","0","0","0","31","20","64","0.57","103","0","0","1.35","82.4","91.3","73.5"
"CHM00057083","ZHENGZHOU, CH","1963-08","1514","448","13","12","0","0","0","31","9","65","3.09","93","0","0","10.59","79.5","86.1","72.9"
"CHM00057083","ZHENGZHOU, CH","1963-09","1681","167","9","8","0","0","0","25","0","51","1.00","87","13","13","2.68","70.2","77.3","63.0"
"CHM00057083","ZHENGZHOU, CH","1963-10","1688","7","1","0","0","0","0","22","0","37","0.02","82","145","132","0.03","61.0","73.2","48.8"
"CHM00057083","ZHENGZHOU, CH","1963-11","1688","0","5","2","0","6","0","3","0","27","0.21","72","617","472","0.52","49.3","59.6","38.9"
"CHM00057083","ZHENGZHOU, CH","1963-12","1688","0","1","1","0","25","0","0","0","15","0.16","62","1453","836","0.17","38.0","48.2","27.8"
"CHM00057083","ZHENGZHOU, CH","1964-01","0","0","6","3","0","30","0","0","0","18","0.35","46","2452","1000","1.05","32.8","39.1","26.3"
"CHM00057083","ZHENGZHOU, CH","1964-02","0","0","7","3","0","29","19","0","0","6","0.72","50","3581","1129","1.17","26.1","32.1","20.0"
"CHM00057083","ZHENGZHOU, CH","1964-03","0","0","6","3","0","3","0","3","0","31","0.26","75","4152","571","0.84","46.6","55.0","38.2"
"CHM00057083","ZHENGZHOU, CH","1964-04","6","6","14","10","0","0","0","4","0","32","1.81","80","4420","268","7.62","56.2","62.6","49.9"
"CHM00057083","ZHENGZHOU, CH","1964-05","113","107","9","6","0","0","0","25","0","49","1.96","86","4436","15","4.31","68.0","76.9","59.0"
"CHM00057083","ZHENGZHOU, CH","1964-06","525","412","5","1","0","0","0","30","19","56","0.40","99","4436","0","0.72","78.7","91.2","66.3"
"CHM00057083","ZHENGZHOU, CH","1964-07","1051","526","13","7","0","0","0","31","15","67","3.42","104","0","0","7.94","82.0","90.0","73.9"
"CHM00057083","ZHENGZHOU, CH","1964-08","1523","471","8","7","0","0","0","31","9","65","2.85","102","0","0","7.42","80.2","88.1","72.3"
"CHM00057083","ZHENGZHOU, CH","1964-09","1633","110","18","6","0","0","0","26","0","52","1.04","85","18","18","4.03","68.1","73.9","62.2"
"CHM00057083","ZHENGZHOU, CH","1964-10","1638","6","17","9","0","0","0","7","0","40","1.70","74","206","188","5.30","59.1","64.2","54.0"
"CHM00057083","ZHENGZHOU, CH","1964-11","1638","0","2","2","0","0","0","0","0","33","0.23","70","672","466","0.39","49.5","58.0","40.9"
"CHM00057083","ZHENGZHOU, CH","1964-12","1638","0","3","1","0","27","0","0","0","24","0.13","60","1510","838","0.22","38.0","46.2","29.7"
"CHM00057083","ZHENGZHOU, CH","1965-01","0","0","3","0","0","27","0","0","0","19","0.07","54","2439","929","0.15","35.0","42.9","27.2"
"CHM00057083","ZHENGZHOU, CH","1965-02","0","0","5","2","0","20","0","0","0","25","0.37","61","3161","723","0.89","39.2","47.9","30.5"
"CHM00057083","ZHENGZHOU, CH","1965-03","0","0","2","0","0","10","0","5","0","24","0.09","80","3719","558","0.15","47.0","58.6","35.4"
"CHM00057083","ZHENGZHOU, CH","1965-04","11","11","7","4","0","0","0","11","0","33","0.82","83","4022","303","1.77","55.3","65.1","45.4"
"CHM00057083","ZHENGZHOU, CH","1965-05","249","237","7","2","0","0","0","29","10","46","0.58","99","4048","26","0.98","71.8","84.5","59.1"
"CHM00057083","ZHENGZHOU, CH","1965-06","706","457","3","1","0","0","0","30","23","56","0.20","104","4048","0","0.26","80.2","93.0","67.5"
"CHM00057083","ZHENGZHOU, CH","1965-07","1221","515","16","10","0","0","0","31","16","68","1.09","101","0","0","4.44","81.6","89.8","73.5"
"CHM00057083","ZHENGZHOU, CH","1965-08","1683","461","7","3","0","0","0","31","17","59","0.70","103","0","0","1.63","79.9","90.5","69.2"
"CHM00057083","ZHENGZHOU, CH","1965-09","1894","212","5","3","0","0","0","30","6","50","1.07","93","2","2","2.12","72.0","85.1","58.9"
"CHM00057083","ZHENGZHOU, CH","1965-10","1907","12","10","5","0","0","0","25","0","40","0.35","83","95","93","1.15","62.4","73.9","50.9"
"CHM00057083","ZHENGZHOU, CH","1965-11","1907","0","5","3","0","5","0","0","0","26","2.15","68","545","450","3.08","49.6","58.6","40.6"
"CHM00057083","ZHENGZHOU, CH","1965-12","1907","0","0","0","0","19","0","0","0","16","0.00","64","1385","840","0.00","37.9","47.5","28.3"
"CHM00057083","ZHENGZHOU, CH","1966-01","0","0","1","0","0","30","3","0","0","16","0.03","63","2309","924","0.03","35.2","45.9","24.5"
"CHM00057083","ZHENGZHOU, CH","1966-02","0","0","1","1","0","17","0","2","0","11","0.36","73","2953","644","0.36","42.0","54.5","29.5"
"CHM00057083","ZHENGZHOU, CH","1966-03","0","0","6","4","0","6","2","5","0","14","0.68","76","3509","555","1.49","47.1","57.6","36.5"
"CHM00057083","ZHENGZHOU, CH","1966-04","24","24","6","3","0","0","0","18","0","34","0.75","89","3690","181","1.32","59.8","71.1","48.4"
"CHM00057083","ZHENGZHOU, CH","1966-05","206","182","5","4","0","0","0","31","3","47","0.39","95","3691","1","1.23","70.8","82.0","59.7"
"CHM00057083","ZHENGZHOU, CH","1966-06","676","469","7","4","0","0","0","30","21","60","1.03","107","3691","0","1.74","80.6","92.9","68.4"
